testing 1, 2, 3.
0,2020/3/2 12:58:16,72,98721.6
1,2020/3/2 12:58:17,72,98719.4
2,2020/3/2 12:58:18,73,98722.1
3,2020/3/2 12:58:19,73,98732.4
4,2020/3/2 12:58:20,73,98721.3
5,2020/3/2 12:58:21,73,98724.1
6,2020/3/2 12:58:22,73,98728.4
7,2020/3/2 12:58:23,73,98717.3
8,2020/3/2 12:58:24,73,98724.5
9,2020/3/2 12:58:25,73,98718.9
10,2020/3/2 12:58:26,73,98718.9
11,2020/3/2 12:58:27,73,98721.2
12,2020/3/2 12:58:28,73,98725.2
13,2020/3/2 12:58:29,73,98722.4
14,2020/3/2 12:58:30,73,98722.4
15,2020/3/2 12:58:31,73,98723.2
16,2020/3/2 12:58:32,73,98720.5
17,2020/3/2 12:58:33,73,98713.7
18,2020/3/2 12:58:34,73,98719.3
19,2020/3/2 12:58:36,73,98719.7
20,2020/3/2 12:58:37,72,98719.0
21,2020/3/2 12:58:38,72,98720.2
22,2020/3/2 12:58:39,72,98724.2
23,2020/3/2 12:58:40,72,98719.1
24,2020/3/2 12:58:41,72,98722.7
25,2020/3/2 12:58:42,72,98718.3
26,2020/3/2 12:58:43,72,98719.1
27,2020/3/2 12:58:44,72,98717.9
28,2020/3/2 12:58:45,72,98714.3
29,2020/3/2 12:58:46,72,98724.7
30,2020/3/2 12:58:47,72,98722.7
31,2020/3/2 12:58:48,72,98712.8
32,2020/3/2 12:58:49,72,98718.3
33,2020/3/2 12:58:50,72,98718.7
34,2020/3/2 12:58:51,72,98722.3
35,2020/3/2 12:58:52,72,98721.1
36,2020/3/2 12:58:53,72,98722.7
37,2020/3/2 12:58:54,72,98722.7
38,2020/3/2 12:58:55,72,98723.0
39,2020/3/2 12:58:56,72,98721.1
40,2020/3/2 12:58:57,72,98721.1
41,2020/3/2 12:58:58,72,98723.4
42,2020/3/2 12:58:59,72,98727.0
43,2020/3/2 12:59:0,72,98725.8
44,2020/3/2 12:59:1,72,98722.6
45,2020/3/2 12:59:2,72,98718.2
46,2020/3/2 12:59:3,72,98724.2
47,2020/3/2 12:59:4,72,98723.0
48,2020/3/2 12:59:5,72,98719.4
49,2020/3/2 12:59:6,72,98724.6
50,2020/3/2 12:59:7,73,98720.2
51,2020/3/2 12:59:8,72,98726.1
52,2020/3/2 12:59:9,72,98721.8
53,2020/3/2 12:59:10,72,98721.0
54,2020/3/2 12:59:11,72,98727.0
55,2020/3/2 12:59:12,72,98725.4
56,2020/3/2 12:59:13,72,98725.0
57,2020/3/2 12:59:15,72,98719.0
58,2020/3/2 12:59:16,72,98721.0
59,2020/3/2 12:59:17,72,98720.6
60,2020/3/2 12:59:18,72,98721.0
61,2020/3/2 12:59:19,72,98717.5
62,2020/3/2 12:59:20,72,98719.8
63,2020/3/2 12:59:21,72,98716.2
64,2020/3/2 12:59:22,72,98721.4
65,2020/3/2 12:59:23,72,98720.2
66,2020/3/2 12:59:24,72,98715.4
67,2020/3/2 12:59:25,72,98727.4
68,2020/3/2 12:59:26,72,98726.1
69,2020/3/2 12:59:27,72,98722.1
70,2020/3/2 12:59:28,72,98718.6
71,2020/3/2 12:59:29,73,98720.9
72,2020/3/2 12:59:30,73,98718.2
73,2020/3/2 12:59:31,73,98722.5
74,2020/3/2 12:59:32,73,98718.2
75,2020/3/2 12:59:33,72,98719.0
76,2020/3/2 12:59:34,72,98715.0
77,2020/3/2 12:59:35,72,98709.4
78,2020/3/2 12:59:36,72,98717.4
79,2020/3/2 12:59:37,72,98728.6
80,2020/3/2 12:59:38,72,98722.6
81,2020/3/2 12:59:39,72,98707.9
82,2020/3/2 12:59:40,72,98702.7
83,2020/3/2 12:59:41,72,98690.7
84,2020/3/2 12:59:42,72,98691.9
85,2020/3/2 12:59:43,72,98688.0
86,2020/3/2 12:59:44,72,98705.8
87,2020/3/2 12:59:45,72,98703.9
88,2020/3/2 12:59:46,72,98692.3
89,2020/3/2 12:59:47,72,98680.0
90,2020/3/2 12:59:48,72,98673.2
91,2020/3/2 12:59:49,72,98668.0
92,2020/3/2 12:59:50,72,98659.7
93,2020/3/2 12:59:51,72,98661.2
94,2020/3/2 12:59:52,72,98658.0
